x,y,MIN_TEMPERATURE,MIN_REL_HUMIDITY,TOTAL_RAIN_FLAG,LOCAL_MONTH,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY,TOTAL_PRECIPITATION,STATION_NAME,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,TOTAL_RAIN,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,MEAN_TEMPERATURE,COOLING_DEGREE_DAYS,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,ID,COOLING_DEGREE_DAYS_FLAG,LOCAL_DATE,SNOW_ON_GROUND,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,TOTAL_SNOW,MAX_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,MAX_TEMPERATURE,LOCAL_DAY
-123.12186944444444,49.29535277777778,11.9,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,16.4,0,M,M,,1108446.2014.6.2,,2014-06-02 00:00:00,,M,1.6,,,,,2014,20.9,2
-123.12186944444444,49.29535277777778,12.1,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,15.7,0,M,M,,1108446.2014.6.3,,2014-06-03 00:00:00,,M,2.3,,,,,2014,19.2,3
-123.12186944444444,49.29535277777778,12,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,15.7,0,M,M,,1108446.2014.6.4,,2014-06-04 00:00:00,,M,2.3,,,,,2014,19.4,4
-123.12186944444444,49.29535277777778,10.4,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,14.6,0,M,M,,1108446.2014.6.5,,2014-06-05 00:00:00,,M,3.4,,,,,2014,18.8,5
-123.12186944444444,49.29535277777778,10.5,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,16,0,M,M,,1108446.2014.6.6,,2014-06-06 00:00:00,,M,2,,,,,2014,21.4,6
-123.12186944444444,49.29535277777778,13.3,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,17.8,0,M,M,,1108446.2014.6.7,,2014-06-07 00:00:00,,M,0.2,,,,,2014,22.3,7
-123.12186944444444,49.29535277777778,14.9,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.3,1.3,M,M,,1108446.2014.6.8,,2014-06-08 00:00:00,,M,0,,,,,2014,23.6,8
-123.12186944444444,49.29535277777778,13.6,,M,6,1108446,,1.8,VANCOUVER HARBOUR CS,,,,,,BC,,,17.2,0,M,M,,1108446.2014.6.9,,2014-06-09 00:00:00,,M,0.8,,,,,2014,20.7,9
-123.12186944444444,49.29535277777778,12.1,,M,6,1108446,,2.5,VANCOUVER HARBOUR CS,,,,,,BC,,,14.7,0,M,M,,1108446.2014.6.10,,2014-06-10 00:00:00,,M,3.3,,,,,2014,17.3,10
-123.12186944444444,49.29535277777778,12.5,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,16.6,0,M,M,,1108446.2014.6.11,,2014-06-11 00:00:00,,M,1.4,,,,,2014,20.6,11
-123.12186944444444,49.29535277777778,13.8,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,17.2,0,M,M,,1108446.2014.6.12,,2014-06-12 00:00:00,,M,0.8,,,,,2014,20.6,12
-123.12186944444444,49.29535277777778,12.7,,M,6,1108446,,1,VANCOUVER HARBOUR CS,,,,,,BC,,,15.2,0,M,M,,1108446.2014.6.13,,2014-06-13 00:00:00,,M,2.8,,,,,2014,17.6,13
-123.12186944444444,49.29535277777778,12,,M,6,1108446,,4.7,VANCOUVER HARBOUR CS,,,,,,BC,,,13.3,0,M,M,,1108446.2014.6.14,,2014-06-14 00:00:00,,M,4.7,,,,,2014,14.5,14
-123.12186944444444,49.29535277777778,11.9,,M,6,1108446,,1.5,VANCOUVER HARBOUR CS,,,,,,BC,,,14.8,0,M,M,,1108446.2014.6.15,,2014-06-15 00:00:00,,M,3.2,,,,,2014,17.6,15
-123.12186944444444,49.29535277777778,10.9,,M,6,1108446,,2.6,VANCOUVER HARBOUR CS,,,,,,BC,,,14.7,0,M,M,,1108446.2014.6.16,,2014-06-16 00:00:00,,M,3.3,,,,,2014,18.5,16
-123.12186944444444,49.29535277777778,12.4,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,16.7,0,M,M,,1108446.2014.6.17,,2014-06-17 00:00:00,,M,1.3,,,,,2014,20.9,17
-123.12186944444444,49.29535277777778,13.3,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,16,0,M,M,,1108446.2014.6.18,,2014-06-18 00:00:00,,M,2,,,,T,2014,18.7,18
-123.12186944444444,49.29535277777778,13.6,,M,6,1108446,,5.3,VANCOUVER HARBOUR CS,,,,,,BC,,,15.7,0,M,M,,1108446.2014.6.19,,2014-06-19 00:00:00,,M,2.3,,,,,2014,17.7,19
-123.12186944444444,49.29535277777778,10.6,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,14.7,0,M,M,,1108446.2014.6.20,,2014-06-20 00:00:00,,M,3.3,,,,T,2014,18.8,20
-123.12186944444444,49.29535277777778,10.9,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,15.3,0,M,M,,1108446.2014.6.21,,2014-06-21 00:00:00,,M,2.7,,,,,2014,19.7,21
-123.12186944444444,49.29535277777778,12.4,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,17.3,0,M,M,,1108446.2014.6.22,,2014-06-22 00:00:00,,M,0.7,,,,,2014,22.2,22
-123.12186944444444,49.29535277777778,14.5,,M,6,1108446,,1.1,VANCOUVER HARBOUR CS,,,,,,BC,,,18.2,0.2,M,M,,1108446.2014.6.23,,2014-06-23 00:00:00,,M,0,,,,,2014,21.9,23
-123.12186944444444,49.29535277777778,14.8,,M,6,1108446,,0.4,VANCOUVER HARBOUR CS,,,,,,BC,,,18.3,0.3,M,M,,1108446.2014.6.24,,2014-06-24 00:00:00,,M,0,,,,,2014,21.7,24
-123.12186944444444,49.29535277777778,13.1,,M,6,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,18.1,0.1,M,M,,1108446.2014.6.25,,2014-06-25 00:00:00,,M,0,,,,T,2014,23,25
-123.12186944444444,49.29535277777778,14.5,,M,6,1108446,,,VANCOUVER HARBOUR CS,,,,,,BC,,,19.6,1.6,M,M,,1108446.2014.6.26,,2014-06-26 00:00:00,,M,0,,,,M,2014,24.6,26
-123.12186944444444,49.29535277777778,13.9,,M,6,1108446,,4.5,VANCOUVER HARBOUR CS,,,,,,BC,,,16.1,0,M,M,,1108446.2014.6.27,,2014-06-27 00:00:00,,M,1.9,,,,,2014,18.2,27
-123.12186944444444,49.29535277777778,13.7,,M,6,1108446,,8.3,VANCOUVER HARBOUR CS,,,,,,BC,,,16.9,0,M,M,,1108446.2014.6.28,,2014-06-28 00:00:00,,M,1.1,,,,,2014,20,28
-123.12186944444444,49.29535277777778,14.3,,M,6,1108446,,2.5,VANCOUVER HARBOUR CS,,,,,,BC,,,17.4,0,M,M,,1108446.2014.6.29,,2014-06-29 00:00:00,,M,0.6,,,,,2014,20.5,29
-123.12186944444444,49.29535277777778,13,,M,6,1108446,,0.3,VANCOUVER HARBOUR CS,,,,,,BC,,,17.6,0,M,M,,1108446.2014.6.30,,2014-06-30 00:00:00,,M,0.4,,,,,2014,22.1,30
-123.12186944444444,49.29535277777778,13.5,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,21.6,3.6,M,M,,1108446.2014.7.1,,2014-07-01 00:00:00,,M,0,,,,,2014,29.7,1
-123.12186944444444,49.29535277777778,17.5,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,21.8,3.8,M,M,,1108446.2014.7.2,,2014-07-02 00:00:00,,M,0,,,,,2014,26.1,2
-123.12186944444444,49.29535277777778,14.9,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,18.6,0.6,M,M,,1108446.2014.7.3,,2014-07-03 00:00:00,,M,0,,,,,2014,22.3,3
-123.12186944444444,49.29535277777778,14,,M,7,1108446,,0.2,VANCOUVER HARBOUR CS,,,,,,BC,,,18.2,0.2,M,M,,1108446.2014.7.4,,2014-07-04 00:00:00,,M,0,,,,,2014,22.4,4
-123.12186944444444,49.29535277777778,14.6,,M,7,1108446,,0.7,VANCOUVER HARBOUR CS,,,,,,BC,,,17.1,0,M,M,,1108446.2014.7.5,,2014-07-05 00:00:00,,M,0.9,,,,,2014,19.5,5
-123.12186944444444,49.29535277777778,15.8,,M,7,1108446,,3.4,VANCOUVER HARBOUR CS,,,,,,BC,,,19.3,1.3,M,M,,1108446.2014.7.6,,2014-07-06 00:00:00,,M,0,,,,,2014,22.8,6
-123.12186944444444,49.29535277777778,15.2,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.6,1.6,M,M,,1108446.2014.7.7,,2014-07-07 00:00:00,,M,0,,,,,2014,24,7
-123.12186944444444,49.29535277777778,15.7,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,20.4,2.4,M,M,,1108446.2014.7.8,,2014-07-08 00:00:00,,M,0,,,,,2014,25,8
-123.12186944444444,49.29535277777778,13.8,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,18.3,0.3,M,M,,1108446.2014.7.9,,2014-07-09 00:00:00,,M,0,,,,,2014,22.8,9
-123.12186944444444,49.29535277777778,13.8,,M,7,1108446,,0.4,VANCOUVER HARBOUR CS,,,,,,BC,,,18.5,0.5,M,M,,1108446.2014.7.10,,2014-07-10 00:00:00,,M,0,,,,,2014,23.1,10
-123.12186944444444,49.29535277777778,15,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,20.8,2.8,M,M,,1108446.2014.7.11,,2014-07-11 00:00:00,,M,0,,,,,2014,26.5,11
-123.12186944444444,49.29535277777778,16.5,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,22.8,4.8,M,M,,1108446.2014.7.12,,2014-07-12 00:00:00,,M,0,,,,,2014,29,12
-123.12186944444444,49.29535277777778,17.2,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,23,5,M,M,,1108446.2014.7.13,,2014-07-13 00:00:00,,M,0,,,,,2014,28.8,13
-123.12186944444444,49.29535277777778,18.7,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,23.1,5.1,M,M,,1108446.2014.7.14,,2014-07-14 00:00:00,,M,0,,,,,2014,27.4,14
-123.12186944444444,49.29535277777778,17,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,21.9,3.9,M,M,,1108446.2014.7.15,,2014-07-15 00:00:00,,M,0,,,,,2014,26.7,15
-123.12186944444444,49.29535277777778,15.5,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,20.5,2.5,M,M,,1108446.2014.7.16,,2014-07-16 00:00:00,,M,0,,,,,2014,25.5,16
-123.12186944444444,49.29535277777778,15.3,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.3,1.3,M,M,,1108446.2014.7.17,,2014-07-17 00:00:00,,M,0,,,,,2014,23.2,17
-123.12186944444444,49.29535277777778,15.1,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.7,1.7,M,M,,1108446.2014.7.18,,2014-07-18 00:00:00,,M,0,,,,,2014,24.2,18
-123.12186944444444,49.29535277777778,15.7,,M,7,1108446,,2.3,VANCOUVER HARBOUR CS,,,,,,BC,,,18.2,0.2,M,M,,1108446.2014.7.19,,2014-07-19 00:00:00,,M,0,,,,,2014,20.6,19
-123.12186944444444,49.29535277777778,14.1,,M,7,1108446,,0.4,VANCOUVER HARBOUR CS,,,,,,BC,,,16.4,0,M,M,,1108446.2014.7.20,,2014-07-20 00:00:00,,M,1.6,,,,,2014,18.7,20
-123.12186944444444,49.29535277777778,15.2,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.1,1.1,M,M,,1108446.2014.7.21,,2014-07-21 00:00:00,,M,0,,,,,2014,22.9,21
-123.12186944444444,49.29535277777778,16.3,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,20.7,2.7,M,M,,1108446.2014.7.22,,2014-07-22 00:00:00,,M,0,,,,T,2014,25.1,22
-123.12186944444444,49.29535277777778,14,,M,7,1108446,,11.5,VANCOUVER HARBOUR CS,,,,,,BC,,,16.6,0,M,M,,1108446.2014.7.23,,2014-07-23 00:00:00,,M,1.4,,,,,2014,19.2,23
-123.12186944444444,49.29535277777778,13.3,,M,7,1108446,,9.8,VANCOUVER HARBOUR CS,,,,,,BC,,,16.4,0,M,M,,1108446.2014.7.24,,2014-07-24 00:00:00,,M,1.6,,,,,2014,19.4,24
-123.12186944444444,49.29535277777778,14.1,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,18,0,M,M,,1108446.2014.7.25,,2014-07-25 00:00:00,,M,0,,,,,2014,21.8,25
-123.12186944444444,49.29535277777778,14.2,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.4,1.4,M,M,,1108446.2014.7.26,,2014-07-26 00:00:00,,M,0,,,,,2014,24.5,26
-123.12186944444444,49.29535277777778,13.8,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.1,1.1,M,M,,1108446.2014.7.27,,2014-07-27 00:00:00,,M,0,,,,,2014,24.3,27
-123.12186944444444,49.29535277777778,14.8,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,20.7,2.7,M,M,,1108446.2014.7.28,,2014-07-28 00:00:00,,M,0,,,,,2014,26.6,28
-123.12186944444444,49.29535277777778,15.2,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,21.1,3.1,M,M,,1108446.2014.7.29,,2014-07-29 00:00:00,,M,0,,,,,2014,26.9,29
-123.12186944444444,49.29535277777778,15,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,20.7,2.7,M,M,,1108446.2014.7.30,,2014-07-30 00:00:00,,M,0,,,,,2014,26.3,30
-123.12186944444444,49.29535277777778,15.5,,M,7,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,21.2,3.2,M,M,,1108446.2014.7.31,,2014-07-31 00:00:00,,M,0,,,,,2014,26.8,31
-123.12186944444444,49.29535277777778,15.8,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,21.5,3.5,M,M,,1108446.2014.8.1,,2014-08-01 00:00:00,,M,0,,,,,2014,27.2,1
-123.12186944444444,49.29535277777778,17.4,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,22.6,4.6,M,M,,1108446.2014.8.2,,2014-08-02 00:00:00,,M,0,,,,,2014,27.7,2
-123.12186944444444,49.29535277777778,16.3,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,22,4,M,M,,1108446.2014.8.3,,2014-08-03 00:00:00,,M,0,,,,,2014,27.6,3
-123.12186944444444,49.29535277777778,17.3,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,22.4,4.4,M,M,,1108446.2014.8.4,,2014-08-04 00:00:00,,M,0,,,,,2014,27.4,4
-123.12186944444444,49.29535277777778,17.2,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,21.8,3.8,M,M,,1108446.2014.8.5,,2014-08-05 00:00:00,,M,0,,,,,2014,26.3,5
-123.12186944444444,49.29535277777778,16.6,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,20.3,2.3,M,M,,1108446.2014.8.6,,2014-08-06 00:00:00,,M,0,,,,,2014,23.9,6
-123.12186944444444,49.29535277777778,15.9,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,20,2,M,M,,1108446.2014.8.7,,2014-08-07 00:00:00,,M,0,,,,,2014,24.1,7
-123.12186944444444,49.29535277777778,15.5,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.7,1.7,M,M,,1108446.2014.8.8,,2014-08-08 00:00:00,,M,0,,,,,2014,23.8,8
-123.12186944444444,49.29535277777778,14.2,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.6,1.6,M,M,,1108446.2014.8.9,,2014-08-09 00:00:00,,M,0,,,,,2014,25,9
-123.12186944444444,49.29535277777778,15.1,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,20.9,2.9,M,M,,1108446.2014.8.10,,2014-08-10 00:00:00,,M,0,,,,,2014,26.7,10
-123.12186944444444,49.29535277777778,16.3,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,22.8,4.8,M,M,,1108446.2014.8.11,,2014-08-11 00:00:00,,M,0,,,,,2014,29.3,11
-123.12186944444444,49.29535277777778,17.7,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,20.9,2.9,M,M,,1108446.2014.8.12,,2014-08-12 00:00:00,,M,0,,,,,2014,24.1,12
-123.12186944444444,49.29535277777778,16.2,,M,8,1108446,,5.9,VANCOUVER HARBOUR CS,,,,,,BC,,,18,0,M,M,,1108446.2014.8.13,,2014-08-13 00:00:00,,M,0,,,,,2014,19.8,13
-123.12186944444444,49.29535277777778,15.2,,M,8,1108446,,3.7,VANCOUVER HARBOUR CS,,,,,,BC,,,19.6,1.6,M,M,,1108446.2014.8.14,,2014-08-14 00:00:00,,M,0,,,,,2014,23.9,14
-123.12186944444444,49.29535277777778,15.8,,M,8,1108446,,1,VANCOUVER HARBOUR CS,,,,,,BC,,,20.5,2.5,M,M,,1108446.2014.8.15,,2014-08-15 00:00:00,,M,0,,,,,2014,25.2,15
-123.12186944444444,49.29535277777778,16.5,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.9,1.9,M,M,,1108446.2014.8.16,,2014-08-16 00:00:00,,M,0,,,,,2014,23.3,16
-123.12186944444444,49.29535277777778,17.8,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,21.3,3.3,M,M,,1108446.2014.8.17,,2014-08-17 00:00:00,,M,0,,,,,2014,24.7,17
-123.12186944444444,49.29535277777778,16.7,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,20.1,2.1,M,M,,1108446.2014.8.18,,2014-08-18 00:00:00,,M,0,,,,,2014,23.4,18
-123.12186944444444,49.29535277777778,16.7,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,20.7,2.7,M,M,,1108446.2014.8.19,,2014-08-19 00:00:00,,M,0,,,,,2014,24.7,19
-123.12186944444444,49.29535277777778,15.9,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.5,1.5,M,M,,1108446.2014.8.20,,2014-08-20 00:00:00,,M,0,,,,,2014,23.1,20
-123.12186944444444,49.29535277777778,15.2,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.5,1.5,M,M,,1108446.2014.8.21,,2014-08-21 00:00:00,,M,0,,,,,2014,23.7,21
-123.12186944444444,49.29535277777778,13.7,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,18.4,0.4,M,M,,1108446.2014.8.22,,2014-08-22 00:00:00,,M,0,,,,,2014,23.1,22
-123.12186944444444,49.29535277777778,14.2,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.6,1.6,M,M,,1108446.2014.8.23,,2014-08-23 00:00:00,,M,0,,,,,2014,24.9,23
-123.12186944444444,49.29535277777778,14.9,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.6,1.6,M,M,,1108446.2014.8.24,,2014-08-24 00:00:00,,M,0,,,,T,2014,24.2,24
-123.12186944444444,49.29535277777778,15.5,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,19.8,1.8,M,M,,1108446.2014.8.25,,2014-08-25 00:00:00,,M,0,,,,,2014,24.1,25
-123.12186944444444,49.29535277777778,16,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,21.2,3.2,M,M,,1108446.2014.8.26,,2014-08-26 00:00:00,,M,0,,,,,2014,26.3,26
-123.12186944444444,49.29535277777778,16.4,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,21.5,3.5,M,M,,1108446.2014.8.27,,2014-08-27 00:00:00,,M,0,,,,,2014,26.5,27
-123.12186944444444,49.29535277777778,16.9,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,20.9,2.9,M,M,,1108446.2014.8.28,,2014-08-28 00:00:00,,M,0,,,,,2014,24.9,28
-123.12186944444444,49.29535277777778,15.8,,M,8,1108446,,0,VANCOUVER HARBOUR CS,,,,,,BC,,,17.9,0,M,M,,1108446.2014.8.29,,2014-08-29 00:00:00,,M,0.1,,,,,2014,20,29
-123.12186944444444,49.29535277777778,14.7,,M,8,1108446,,1.1,VANCOUVER HARBOUR CS,,,,,,BC,,,17.6,0,M,M,,1108446.2014.8.30,,2014-08-30 00:00:00,,M,0.4,,,,,2014,20.5,30
