x,y,TOTAL_SNOW,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,LOCAL_MONTH,HEATING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS,SNOW_ON_GROUND,SPEED_MAX_GUST,TOTAL_RAIN,MAX_REL_HUMIDITY_FLAG,ID,MEAN_TEMPERATURE,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,STATION_NAME,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE,LOCAL_DATE,PROVINCE_CODE,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,CLIMATE_IDENTIFIER,LOCAL_YEAR,LOCAL_DAY,TOTAL_RAIN_FLAG
-123.12186944444444,49.29535277777778,0,0,0,,2,,,13.2,0,,0,,1108446.1985.2.17,4.8,,,,,,,VANCOUVER HARBOUR CS,,2.3,1985-02-17 00:00:00,BC,,,,,7.3,1108446,1985,17,
-123.12186944444444,49.29535277777778,0,7.4,0,,2,,,12,0,,7.4,,1108446.1985.2.18,6,,,,,,,VANCOUVER HARBOUR CS,,3.6,1985-02-18 00:00:00,BC,,,,,8.3,1108446,1985,18,
-123.12186944444444,49.29535277777778,0,9.9,0,,2,,,13.7,0,,9.9,,1108446.1985.2.19,4.3,,,,,T,,VANCOUVER HARBOUR CS,,3.2,1985-02-19 00:00:00,BC,,,,,5.4,1108446,1985,19,
-123.12186944444444,49.29535277777778,0,5.8,0,,2,,,13.7,0,,5.8,,1108446.1985.2.20,4.3,,,,,,,VANCOUVER HARBOUR CS,,1.3,1985-02-20 00:00:00,BC,,,,,7.2,1108446,1985,20,
-123.12186944444444,49.29535277777778,0,12.2,0,,2,,,12.6,0,,12.2,,1108446.1985.2.21,5.4,,,,,,,VANCOUVER HARBOUR CS,,4.1,1985-02-21 00:00:00,BC,,,,,6.7,1108446,1985,21,
-123.12186944444444,49.29535277777778,0,0.2,0,,2,,,11.6,0,,0.2,,1108446.1985.2.22,6.4,,,,,,,VANCOUVER HARBOUR CS,,4.8,1985-02-22 00:00:00,BC,,,,,7.9,1108446,1985,22,
-123.12186944444444,49.29535277777778,0,5.9,0,,2,,,10.9,0,,5.9,,1108446.1985.2.23,7.1,,,,,,,VANCOUVER HARBOUR CS,,6,1985-02-23 00:00:00,BC,,,,,8.2,1108446,1985,23,
-123.12186944444444,49.29535277777778,0,0,0,,2,,,9.9,0,,0,,1108446.1985.2.24,8.1,,,,,,,VANCOUVER HARBOUR CS,,6.4,1985-02-24 00:00:00,BC,,,,,9.8,1108446,1985,24,
-123.12186944444444,49.29535277777778,0,0,0,,2,,,12.7,0,,0,,1108446.1985.2.25,5.3,,,,,,,VANCOUVER HARBOUR CS,,1.3,1985-02-25 00:00:00,BC,,,,,9.2,1108446,1985,25,
-123.12186944444444,49.29535277777778,0,0,0,,2,,,12.2,0,,0,,1108446.1985.2.26,5.8,,,,,,,VANCOUVER HARBOUR CS,,3.5,1985-02-26 00:00:00,BC,,,,,8.1,1108446,1985,26,
-123.12186944444444,49.29535277777778,0,0.4,0,,2,,,13.2,0,,0.4,,1108446.1985.2.27,4.8,,,,,,,VANCOUVER HARBOUR CS,,1.2,1985-02-27 00:00:00,BC,,,,,8.4,1108446,1985,27,
-123.12186944444444,49.29535277777778,0,0,0,,2,,,10.8,0,,0,,1108446.1985.2.28,7.2,,,,,,,VANCOUVER HARBOUR CS,,5.4,1985-02-28 00:00:00,BC,,,,,8.9,1108446,1985,28,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,11.7,0,,0,,1108446.1985.3.1,6.3,,,,T,,,VANCOUVER HARBOUR CS,,3.2,1985-03-01 00:00:00,BC,,,,,9.4,1108446,1985,1,T
-123.12186944444444,49.29535277777778,0,0,0,,3,,,14,0,,0,,1108446.1985.3.2,4,,,,,,,VANCOUVER HARBOUR CS,,0.3,1985-03-02 00:00:00,BC,,,,,7.7,1108446,1985,2,
-123.12186944444444,49.29535277777778,0.5,8.9,0,,3,,,14.6,0,,8.4,,1108446.1985.3.3,3.4,,,,E,E,,VANCOUVER HARBOUR CS,,0.4,1985-03-03 00:00:00,BC,,,,,6.4,1108446,1985,3,E
-123.12186944444444,49.29535277777778,0,3.6,0,,3,,,13.4,0,,3.6,,1108446.1985.3.4,4.6,,,,,,,VANCOUVER HARBOUR CS,,2.5,1985-03-04 00:00:00,BC,,,,,6.7,1108446,1985,4,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,11.6,0,,0,,1108446.1985.3.5,6.4,,,,T,,,VANCOUVER HARBOUR CS,,4.5,1985-03-05 00:00:00,BC,,,,,8.3,1108446,1985,5,T
-123.12186944444444,49.29535277777778,0,0,0,,3,,,11.6,0,,0,,1108446.1985.3.6,6.4,,,,,,,VANCOUVER HARBOUR CS,,4.3,1985-03-06 00:00:00,BC,,,,,8.4,1108446,1985,6,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,13.8,0,,0,,1108446.1985.3.7,4.2,,,,,,,VANCOUVER HARBOUR CS,,0.2,1985-03-07 00:00:00,BC,,,,,8.1,1108446,1985,7,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,13.2,0,,0,,1108446.1985.3.8,4.8,,,,,,,VANCOUVER HARBOUR CS,,0.5,1985-03-08 00:00:00,BC,,,,,9.1,1108446,1985,8,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,13,0,,0,,1108446.1985.3.9,5,,,,,,,VANCOUVER HARBOUR CS,,0.7,1985-03-09 00:00:00,BC,,,,,9.2,1108446,1985,9,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,13.5,0,,0,,1108446.1985.3.10,4.5,,,,,,,VANCOUVER HARBOUR CS,,-0.1,1985-03-10 00:00:00,BC,,,,,9.1,1108446,1985,10,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,12.2,0,,0,,1108446.1985.3.11,5.8,,,,,,,VANCOUVER HARBOUR CS,,2,1985-03-11 00:00:00,BC,,,,,9.5,1108446,1985,11,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,12.3,0,,0,,1108446.1985.3.12,5.7,,,,,,,VANCOUVER HARBOUR CS,,2,1985-03-12 00:00:00,BC,,,,,9.4,1108446,1985,12,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,12.1,0,,0,,1108446.1985.3.13,5.9,,,,,,,VANCOUVER HARBOUR CS,,2,1985-03-13 00:00:00,BC,,,,,9.7,1108446,1985,13,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,11.1,0,,0,,1108446.1985.3.14,6.9,,,,,,,VANCOUVER HARBOUR CS,,3.6,1985-03-14 00:00:00,BC,,,,,10.1,1108446,1985,14,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,12.2,0,,0,,1108446.1985.3.15,5.8,,,,,,,VANCOUVER HARBOUR CS,,1.6,1985-03-15 00:00:00,BC,,,,,10,1108446,1985,15,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,9.1,0,,0,,1108446.1985.3.16,8.9,,,,,,,VANCOUVER HARBOUR CS,,3.6,1985-03-16 00:00:00,BC,,,,,14.1,1108446,1985,16,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,9.6,0,,0,,1108446.1985.3.17,8.4,,,,,,,VANCOUVER HARBOUR CS,,4.9,1985-03-17 00:00:00,BC,,,,,11.9,1108446,1985,17,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,9.1,0,,0,,1108446.1985.3.18,8.9,,,,T,,,VANCOUVER HARBOUR CS,,7.3,1985-03-18 00:00:00,BC,,,,,10.4,1108446,1985,18,T
-123.12186944444444,49.29535277777778,0,2.3,0,,3,,,10.8,0,,2.3,,1108446.1985.3.19,7.2,,,,,,,VANCOUVER HARBOUR CS,,6.5,1985-03-19 00:00:00,BC,,,,,7.8,1108446,1985,19,
-123.12186944444444,49.29535277777778,0,5.4,0,,3,,,10.2,0,,5.4,,1108446.1985.3.20,7.8,,,,,,,VANCOUVER HARBOUR CS,,5.2,1985-03-20 00:00:00,BC,,,,,10.4,1108446,1985,20,
-123.12186944444444,49.29535277777778,0,12.3,0,,3,,,11.9,0,,12.3,,1108446.1985.3.21,6.1,,,,,T,,VANCOUVER HARBOUR CS,,3.6,1985-03-21 00:00:00,BC,,,,,8.6,1108446,1985,21,
-123.12186944444444,49.29535277777778,0,4.9,0,,3,,,11.4,0,,4.9,,1108446.1985.3.22,6.6,,,,,T,,VANCOUVER HARBOUR CS,,2.2,1985-03-22 00:00:00,BC,,,,,10.9,1108446,1985,22,
-123.12186944444444,49.29535277777778,0,17.6,0,,3,,,10.9,0,,17.6,,1108446.1985.3.23,7.1,,,,,T,,VANCOUVER HARBOUR CS,,3.4,1985-03-23 00:00:00,BC,,,,,10.8,1108446,1985,23,
-123.12186944444444,49.29535277777778,0,2.2,0,,3,,,13.8,0,,2.2,,1108446.1985.3.24,4.2,,,,,T,,VANCOUVER HARBOUR CS,,1.1,1985-03-24 00:00:00,BC,,,,,7.2,1108446,1985,24,
-123.12186944444444,49.29535277777778,0,5.9,0,,3,,,14.1,0,,5.9,,1108446.1985.3.25,3.9,,,,,T,,VANCOUVER HARBOUR CS,,1.6,1985-03-25 00:00:00,BC,,,,,6.2,1108446,1985,25,
-123.12186944444444,49.29535277777778,0,0.5,0,,3,,,12.2,0,,0.5,,1108446.1985.3.26,5.8,,,,,,,VANCOUVER HARBOUR CS,,3.2,1985-03-26 00:00:00,BC,,,,,8.3,1108446,1985,26,
-123.12186944444444,49.29535277777778,0,0.2,0,,3,,,11.9,0,,0.2,,1108446.1985.3.27,6.1,,,,,,,VANCOUVER HARBOUR CS,,3.9,1985-03-27 00:00:00,BC,,,,,8.3,1108446,1985,27,
-123.12186944444444,49.29535277777778,0,0,0,,3,,,10.1,0,,0,,1108446.1985.3.28,7.9,,,,,,,VANCOUVER HARBOUR CS,,4.6,1985-03-28 00:00:00,BC,,,,,11.1,1108446,1985,28,
-123.12186944444444,49.29535277777778,0,19.4,0,,3,,,12.4,0,,19.4,,1108446.1985.3.29,5.6,,,,,,,VANCOUVER HARBOUR CS,,2.9,1985-03-29 00:00:00,BC,,,,,8.2,1108446,1985,29,
-123.12186944444444,49.29535277777778,0,8.2,0,,3,,,12.4,0,,8.2,,1108446.1985.3.30,5.6,,,,,,,VANCOUVER HARBOUR CS,,3.3,1985-03-30 00:00:00,BC,,,,,7.8,1108446,1985,30,
-123.12186944444444,49.29535277777778,0,11.4,0,,3,,,10.4,0,,11.4,,1108446.1985.3.31,7.6,,,,,,,VANCOUVER HARBOUR CS,,5.9,1985-03-31 00:00:00,BC,,,,,9.3,1108446,1985,31,
-123.12186944444444,49.29535277777778,0,1.8,0,,4,,,8.6,0,,1.8,,1108446.1985.4.1,9.4,,,,,,,VANCOUVER HARBOUR CS,,7,1985-04-01 00:00:00,BC,,,,,11.7,1108446,1985,1,
-123.12186944444444,49.29535277777778,0,5.4,0,,4,,,10.1,0,,5.4,,1108446.1985.4.2,7.9,,,,,,,VANCOUVER HARBOUR CS,,6.6,1985-04-02 00:00:00,BC,,,,,9.1,1108446,1985,2,
-123.12186944444444,49.29535277777778,0,1.8,0,,4,,,12.1,0,,1.8,,1108446.1985.4.3,5.9,,,,,,,VANCOUVER HARBOUR CS,,4.4,1985-04-03 00:00:00,BC,,,,,7.4,1108446,1985,3,
-123.12186944444444,49.29535277777778,0,3.8,0,,4,,,10.7,0,,3.8,,1108446.1985.4.4,7.3,,,,,,,VANCOUVER HARBOUR CS,,4.5,1985-04-04 00:00:00,BC,,,,,10,1108446,1985,4,
-123.12186944444444,49.29535277777778,0,0,0,,4,,,10,0,,0,,1108446.1985.4.5,8,,,,,,,VANCOUVER HARBOUR CS,,5.7,1985-04-05 00:00:00,BC,,,,,10.3,1108446,1985,5,
-123.12186944444444,49.29535277777778,0,0,0,,4,,,8.7,0,,0,,1108446.1985.4.6,9.3,,,,,,,VANCOUVER HARBOUR CS,,3.6,1985-04-06 00:00:00,BC,,,,,14.9,1108446,1985,6,
-123.12186944444444,49.29535277777778,0,0,0,,4,,,6.7,0,,0,,1108446.1985.4.7,11.3,,,,,,,VANCOUVER HARBOUR CS,,5.7,1985-04-07 00:00:00,BC,,,,,16.9,1108446,1985,7,
-123.12186944444444,49.29535277777778,0,0,0,,4,,,7.9,0,,0,,1108446.1985.4.8,10.1,,,,,,,VANCOUVER HARBOUR CS,,5.5,1985-04-08 00:00:00,BC,,,,,14.6,1108446,1985,8,
-123.12186944444444,49.29535277777778,0,0,0,,4,,,6.9,0,,0,,1108446.1985.4.9,11.1,,,,,,,VANCOUVER HARBOUR CS,,5.7,1985-04-09 00:00:00,BC,,,,,16.4,1108446,1985,9,
-123.12186944444444,49.29535277777778,0,2.4,0,,4,,,8.4,0,,2.4,,1108446.1985.4.10,9.6,,,,,,,VANCOUVER HARBOUR CS,,7,1985-04-10 00:00:00,BC,,,,,12.2,1108446,1985,10,
-123.12186944444444,49.29535277777778,0,9.6,0,,4,,,7.8,0,,9.6,,1108446.1985.4.11,10.2,,,,,,,VANCOUVER HARBOUR CS,,8.7,1985-04-11 00:00:00,BC,,,,,11.6,1108446,1985,11,
-123.12186944444444,49.29535277777778,0,1.2,0,,4,,,6,0,,1.2,,1108446.1985.4.12,12,,,,,,,VANCOUVER HARBOUR CS,,8.9,1985-04-12 00:00:00,BC,,,,,15.1,1108446,1985,12,
-123.12186944444444,49.29535277777778,0,7.6,0,,4,,,7.9,0,,7.6,,1108446.1985.4.13,10.1,,,,,,,VANCOUVER HARBOUR CS,,8.7,1985-04-13 00:00:00,BC,,,,,11.5,1108446,1985,13,
-123.12186944444444,49.29535277777778,0,0,0,,4,,,7.8,0,,0,,1108446.1985.4.14,10.2,,,,,,,VANCOUVER HARBOUR CS,,7.7,1985-04-14 00:00:00,BC,,,,,12.7,1108446,1985,14,
-123.12186944444444,49.29535277777778,0,0,0,,4,,,8.4,0,,0,,1108446.1985.4.15,9.6,,,,,,,VANCOUVER HARBOUR CS,,6.2,1985-04-15 00:00:00,BC,,,,,12.9,1108446,1985,15,
-123.12186944444444,49.29535277777778,0,0,0,,4,,,6.8,0,,0,,1108446.1985.4.16,11.2,,,,T,,,VANCOUVER HARBOUR CS,,9,1985-04-16 00:00:00,BC,,,,,13.4,1108446,1985,16,T
-123.12186944444444,49.29535277777778,0,2.8,0,,4,,,9.2,0,,2.8,,1108446.1985.4.17,8.8,,,,,,,VANCOUVER HARBOUR CS,,7.5,1985-04-17 00:00:00,BC,,,,,10.1,1108446,1985,17,
-123.12186944444444,49.29535277777778,0,0,0,,4,,,9.6,0,,0,,1108446.1985.4.18,8.4,,,,,,,VANCOUVER HARBOUR CS,,5,1985-04-18 00:00:00,BC,,,,,11.8,1108446,1985,18,
-123.12186944444444,49.29535277777778,0,0,0,,4,,,9.8,0,,0,,1108446.1985.4.19,8.2,,,,,,,VANCOUVER HARBOUR CS,,5.1,1985-04-19 00:00:00,BC,,,,,11.3,1108446,1985,19,
-123.12186944444444,49.29535277777778,0,0,0,,4,,,11.7,0,,0,,1108446.1985.4.20,6.3,,,,,,,VANCOUVER HARBOUR CS,,3.1,1985-04-20 00:00:00,BC,,,,,9.5,1108446,1985,20,
-123.12186944444444,49.29535277777778,0,0.6,0,,4,,,10.2,0,,0.6,,1108446.1985.4.21,7.8,,,,,,,VANCOUVER HARBOUR CS,,3.2,1985-04-21 00:00:00,BC,,,,,12.3,1108446,1985,21,
-123.12186944444444,49.29535277777778,0,18.6,0,,4,,,11.3,0,,18.6,,1108446.1985.4.22,6.7,,,,,,,VANCOUVER HARBOUR CS,,4.9,1985-04-22 00:00:00,BC,,,,,8.4,1108446,1985,22,
-123.12186944444444,49.29535277777778,0,3.5,0,,4,,,9.1,0,,3.5,,1108446.1985.4.23,8.9,,,,,,,VANCOUVER HARBOUR CS,,5.2,1985-04-23 00:00:00,BC,,,,,12.6,1108446,1985,23,
-123.12186944444444,49.29535277777778,0,2.5,0,,4,,,10.3,0,,2.5,,1108446.1985.4.24,7.7,,,,,,,VANCOUVER HARBOUR CS,,4.6,1985-04-24 00:00:00,BC,,,,,10.8,1108446,1985,24,
-123.12186944444444,49.29535277777778,0,13.2,0,,4,,,10.5,0,,13.2,,1108446.1985.4.25,7.5,,,,,,,VANCOUVER HARBOUR CS,,5.3,1985-04-25 00:00:00,BC,,,,,9.6,1108446,1985,25,
-123.12186944444444,49.29535277777778,0,22.8,0,,4,,,12.9,0,,22.8,,1108446.1985.4.26,5.1,,,,,,,VANCOUVER HARBOUR CS,,2.9,1985-04-26 00:00:00,BC,,,,,7.2,1108446,1985,26,
-123.12186944444444,49.29535277777778,0,9,0,,4,,,8.6,0,,9,,1108446.1985.4.27,9.4,,,,,,,VANCOUVER HARBOUR CS,,6,1985-04-27 00:00:00,BC,,,,,12.8,1108446,1985,27,
-123.12186944444444,49.29535277777778,0,0.8,0,,4,,,9.9,0,,0.8,,1108446.1985.4.28,8.1,,,,,,,VANCOUVER HARBOUR CS,,4.1,1985-04-28 00:00:00,BC,,,,,12.1,1108446,1985,28,
-123.12186944444444,49.29535277777778,0,0,0,,4,,,10.2,0,,0,,1108446.1985.4.29,7.8,,,,,,,VANCOUVER HARBOUR CS,,4.5,1985-04-29 00:00:00,BC,,,,,11.1,1108446,1985,29,
-123.12186944444444,49.29535277777778,0,0,0,,4,,,9.3,0,,0,,1108446.1985.4.30,8.7,,,,,,,VANCOUVER HARBOUR CS,,3.8,1985-04-30 00:00:00,BC,,,,,13.5,1108446,1985,30,
-123.12186944444444,49.29535277777778,0,0,0,,5,,,7.7,0,,0,,1108446.1985.5.1,10.3,,,,,,,VANCOUVER HARBOUR CS,,5.8,1985-05-01 00:00:00,BC,,,,,14.7,1108446,1985,1,
-123.12186944444444,49.29535277777778,0,3,0,,5,,,5,0,,3,,1108446.1985.5.2,13,,,,,,,VANCOUVER HARBOUR CS,,8.1,1985-05-02 00:00:00,BC,,,,,17.9,1108446,1985,2,
-123.12186944444444,49.29535277777778,0,1,0,,5,,,6.9,0,,1,,1108446.1985.5.3,11.1,,,,,,,VANCOUVER HARBOUR CS,,7.7,1985-05-03 00:00:00,BC,,,,,14.4,1108446,1985,3,
-123.12186944444444,49.29535277777778,0,0,0,,5,,,7.4,0,,0,,1108446.1985.5.4,10.6,,,,,,,VANCOUVER HARBOUR CS,,7.2,1985-05-04 00:00:00,BC,,,,,14,1108446,1985,4,
-123.12186944444444,49.29535277777778,0,3.4,0,,5,,,7.9,0,,3.4,,1108446.1985.5.5,10.1,,,,,,,VANCOUVER HARBOUR CS,,7.4,1985-05-05 00:00:00,BC,,,,,12.8,1108446,1985,5,
-123.12186944444444,49.29535277777778,0,0.8,0,,5,,,7,0,,0.8,,1108446.1985.5.6,11,,,,,,,VANCOUVER HARBOUR CS,,6.9,1985-05-06 00:00:00,BC,,,,,15,1108446,1985,6,
-123.12186944444444,49.29535277777778,0,1,0,,5,,,6.3,0,,1,,1108446.1985.5.7,11.7,,,,,,,VANCOUVER HARBOUR CS,,8.5,1985-05-07 00:00:00,BC,,,,,14.9,1108446,1985,7,
-123.12186944444444,49.29535277777778,0,1.8,0,,5,,,8.1,0,,1.8,,1108446.1985.5.8,9.9,,,,,,,VANCOUVER HARBOUR CS,,7.1,1985-05-08 00:00:00,BC,,,,,12.6,1108446,1985,8,
-123.12186944444444,49.29535277777778,0,0,0,,5,,,7.5,0,,0,,1108446.1985.5.9,10.5,,,,T,,,VANCOUVER HARBOUR CS,,6,1985-05-09 00:00:00,BC,,,,,14.9,1108446,1985,9,T
-123.12186944444444,49.29535277777778,0,2.6,0,,5,,,8.6,0,,2.6,,1108446.1985.5.10,9.4,,,,,,,VANCOUVER HARBOUR CS,,7.6,1985-05-10 00:00:00,BC,,,,,11.2,1108446,1985,10,
-123.12186944444444,49.29535277777778,0,0,0,,5,,,9.3,0,,0,,1108446.1985.5.11,8.7,,,,,,,VANCOUVER HARBOUR CS,,4.2,1985-05-11 00:00:00,BC,,,,,13.2,1108446,1985,11,
-123.12186944444444,49.29535277777778,0,4,0,,5,,,8.1,0,,4,,1108446.1985.5.12,9.9,,,,,,,VANCOUVER HARBOUR CS,,5.4,1985-05-12 00:00:00,BC,,,,,14.4,1108446,1985,12,
-123.12186944444444,49.29535277777778,0,8.4,0,,5,,,8,0,,8.4,,1108446.1985.5.13,10,,,,,,,VANCOUVER HARBOUR CS,,7.6,1985-05-13 00:00:00,BC,,,,,12.3,1108446,1985,13,
-123.12186944444444,49.29535277777778,0,0,0,,5,,,6.4,0,,0,,1108446.1985.5.14,11.6,,,,,,,VANCOUVER HARBOUR CS,,8.2,1985-05-14 00:00:00,BC,,,,,15,1108446,1985,14,
-123.12186944444444,49.29535277777778,0,0,0,,5,,,5.6,0,,0,,1108446.1985.5.15,12.4,,,,,,,VANCOUVER HARBOUR CS,,6.1,1985-05-15 00:00:00,BC,,,,,18.6,1108446,1985,15,
-123.12186944444444,49.29535277777778,0,0,0,,5,,,1.9,0,,0,,1108446.1985.5.16,16.1,,,,,,,VANCOUVER HARBOUR CS,,9,1985-05-16 00:00:00,BC,,,,,23.2,1108446,1985,16,
-123.12186944444444,49.29535277777778,0,0,0.2,,5,,,0,0,,0,,1108446.1985.5.17,18.2,,,,,,,VANCOUVER HARBOUR CS,,11.2,1985-05-17 00:00:00,BC,,,,,25.2,1108446,1985,17,
-123.12186944444444,49.29535277777778,0,0,0,,5,,,3.1,0,,0,,1108446.1985.5.18,14.9,,,,,,,VANCOUVER HARBOUR CS,,11.6,1985-05-18 00:00:00,BC,,,,,18.1,1108446,1985,18,
-123.12186944444444,49.29535277777778,0,0,0,,5,,,4.4,0,,0,,1108446.1985.5.19,13.6,,,,,,,VANCOUVER HARBOUR CS,,10.3,1985-05-19 00:00:00,BC,,,,,16.9,1108446,1985,19,
-123.12186944444444,49.29535277777778,0,0,0,,5,,,3.3,0,,0,,1108446.1985.5.20,14.7,,,,,,,VANCOUVER HARBOUR CS,,11.9,1985-05-20 00:00:00,BC,,,,,17.5,1108446,1985,20,
-123.12186944444444,49.29535277777778,0,0,0,,5,,,2.2,0,,0,,1108446.1985.5.21,15.8,,,,,,,VANCOUVER HARBOUR CS,,12.3,1985-05-21 00:00:00,BC,,,,,19.3,1108446,1985,21,
-123.12186944444444,49.29535277777778,0,0,0,,5,,,0.7,0,,0,,1108446.1985.5.22,17.3,,,,T,,,VANCOUVER HARBOUR CS,,11.4,1985-05-22 00:00:00,BC,,,,,23.2,1108446,1985,22,T
-123.12186944444444,49.29535277777778,0,5.1,0,,5,,,1.8,0,,5.1,,1108446.1985.5.23,16.2,,,,,,,VANCOUVER HARBOUR CS,,13.2,1985-05-23 00:00:00,BC,,,,,19.1,1108446,1985,23,
-123.12186944444444,49.29535277777778,0,0.9,0,,5,,,2.2,0,,0.9,,1108446.1985.5.24,15.8,,,,,,,VANCOUVER HARBOUR CS,,13.2,1985-05-24 00:00:00,BC,,,,,18.3,1108446,1985,24,
-123.12186944444444,49.29535277777778,0,0,0,,5,,,2.3,0,,0,,1108446.1985.5.25,15.7,,,,,,,VANCOUVER HARBOUR CS,,12.2,1985-05-25 00:00:00,BC,,,,,19.1,1108446,1985,25,
